runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
16300000,c_69253_b_80213_d_31,9602,163,1,t_5566425_b_80213_tn_0,805745,t_5566424_b_80213_tn_0,2562351
16400000,c_69253_b_80213_d_32,1001,164,1,t_5566981_b_80213_tn_0,805974,t_5566984_b_80213_tn_0,805974
16500000,c_69253_b_80213_d_32,101,165,1,t_5566747_b_80213_tn_0,2562322,t_5566757_b_80213_tn_0,2562331
16600000,c_69253_b_80213_d_32,102,166,1,t_5567079_b_80213_tn_0,2562322,t_5566922_b_80213_tn_0,2562322
16700000,c_69253_b_80213_d_32,103,167,1,t_5566889_b_80213_tn_0,2562331,t_5567096_b_80213_tn_0,2562331
16800000,c_69253_b_80213_d_32,104,168,1,t_5567081_b_80213_tn_0,2562322,t_5566763_b_80213_tn_0,2562331
16900000,c_69253_b_80213_d_32,105,169,1,t_5567087_b_80213_tn_0,2562322,t_5566932_b_80213_tn_0,2562322
1700000,c_18146_b_78479_d_4,205,17,1,t_1523668_b_78479_tn_0,805739,t_1523668_b_78479_tn_0,2562331
17000000,c_69253_b_80213_d_32,106,170,1,t_5567108_b_80213_tn_0,2562322,t_5566770_b_80213_tn_0,2562331
17100000,c_69253_b_80213_d_32,1101,171,1,t_5566985_b_80213_tn_0,2562322,t_5566950_b_80213_tn_0,2562331
17200000,c_69253_b_80213_d_32,1102,172,1,t_5566986_b_80213_tn_0,2562322,t_5566941_b_80213_tn_0,2562331
17300000,c_69253_b_80213_d_32,1103,173,1,t_5566978_b_80213_tn_0,805974,t_5567018_b_80213_tn_0,2562322
17400000,c_69253_b_80213_d_32,1104,174,1,t_5566208_b_80213_tn_0,2562322,t_5567022_b_80213_tn_0,2562322
17500000,c_69253_b_80213_d_32,201,175,1,t_5567097_b_80213_tn_0,2562331,t_5566806_b_80213_tn_0,2562322
17600000,c_69253_b_80213_d_32,202,176,1,t_5566933_b_80213_tn_0,2562331,t_5566802_b_80213_tn_0,2562322
17700000,c_69253_b_80213_d_32,203,177,1,t_5567065_b_80213_tn_0,2562331,t_5566809_b_80213_tn_0,2562322
17800000,c_69253_b_80213_d_32,204,178,1,t_5566876_b_80213_tn_0,2562322,t_5567074_b_80213_tn_0,2562322
17900000,c_69253_b_80213_d_32,205,179,1,t_5566771_b_80213_tn_0,2562331,t_5566810_b_80213_tn_0,2562322
1800000,c_18146_b_78479_d_4,2102,18,1,t_1521282_b_78479_tn_0,815407,t_1521282_b_78479_tn_0,2562331
18000000,c_69253_b_80213_d_32,206,180,1,t_5566975_b_80213_tn_0,805974,t_5566811_b_80213_tn_0,2562322
18100000,c_69253_b_80213_d_32,207,181,1,t_5566205_b_80213_tn_0,2562322,t_5567102_b_80213_tn_0,805734
18200000,c_69253_b_80213_d_32,208,182,1,t_5566209_b_80213_tn_0,2562322,t_5566821_b_80213_tn_0,2562322
18300000,c_69253_b_80213_d_32,501,183,1,t_5566958_b_80213_tn_0,2562331,t_5567010_b_80213_tn_0,2562322
18400000,c_69253_b_80213_d_32,502,184,1,t_5566849_b_80213_tn_0,805734,t_5567127_b_80213_tn_0,2562322
18500000,c_69253_b_80213_d_32,503,185,1,t_5566875_b_80213_tn_0,2562322,t_5566860_b_80213_tn_0,2562331
18600000,c_69253_b_80213_d_32,504,186,1,t_5566197_b_80213_tn_0,2562322,t_5567060_b_80213_tn_0,2562322
18700000,c_69253_b_80213_d_32,505,187,1,t_5566829_b_80213_tn_0,2562322,t_5567061_b_80213_tn_0,2562322
18800000,c_69253_b_80213_d_32,506,188,1,t_5566835_b_80213_tn_0,2562322,t_5567019_b_80213_tn_0,2562322
18900000,c_69253_b_80213_d_32,507,189,1,t_5567101_b_80213_tn_0,2562322,t_5567101_b_80213_tn_0,805734
1900000,c_18146_b_78479_d_4,2103,19,1,t_1523667_b_78479_tn_0,849473,t_1523667_b_78479_tn_0,2562322
19000000,c_69253_b_80213_d_32,508,190,1,t_5566847_b_80213_tn_0,2562322,t_5566847_b_80213_tn_0,805734
19100000,c_69253_b_80213_d_32,509,191,1,t_5566848_b_80213_tn_0,2562322,t_5566848_b_80213_tn_0,805734
19200000,c_69253_b_80213_d_32,601,192,1,t_5566991_b_80213_tn_0,2562322,t_5567034_b_80213_tn_0,805734
19300000,c_69253_b_80213_d_32,602,193,1,t_5566212_b_80213_tn_0,2562322,t_5566241_b_80213_tn_0,2562331
19400000,c_69253_b_80213_d_32,701,194,1,t_5567093_b_80213_tn_0,805974,t_5567016_b_80213_tn_0,2562322
19500000,c_69253_b_80213_d_32,702,195,1,t_5566893_b_80213_tn_0,2562331,t_5566765_b_80213_tn_0,2562331
19600000,c_69253_b_80213_d_32,703,196,1,t_5567068_b_80213_tn_0,2562331,t_5566929_b_80213_tn_0,2562322
19700000,c_69253_b_80213_d_32,704,197,1,t_5567106_b_80213_tn_0,2562322,t_5566930_b_80213_tn_0,2562322
19800000,c_69253_b_80213_d_32,901,198,1,t_5566997_b_80213_tn_0,2562322,t_5567064_b_80213_tn_0,2562322
19900000,c_69253_b_80213_d_4,110,199,1,t_5567317_b_80213_tn_0,2562331,t_5567317_b_80213_tn_0,2530430
200000,c_18146_b_78479_d_27,116,2,1,t_898195_b_78479_tn_0,805739,t_898195_b_78479_tn_0,2562331
2000000,c_18146_b_78479_d_4,2104,20,1,t_1523664_b_78479_tn_0,815405,t_1523664_b_78479_tn_0,2562322
20000000,c_69253_b_80213_d_4,502,200,1,t_5567027_b_80213_tn_0,805989,t_5567028_b_80213_tn_0,806029
20100000,c_69253_b_80213_d_64,628,201,1,t_5567078_b_80213_tn_0,2562331,t_5566608_b_80213_tn_0,2562331
20200000,c_69253_b_80213_d_64,629,202,1,t_5566588_b_80213_tn_0,2562322,t_5566602_b_80213_tn_0,2562331
20300000,c_69253_b_80213_d_64,630,203,1,t_5566656_b_80213_tn_0,2562322,t_5567049_b_80213_tn_0,2562322
20400000,c_69253_b_80213_d_64,631,204,1,t_5566683_b_80213_tn_0,2562331,t_5567122_b_80213_tn_0,2562322
20500000,c_69253_b_80213_d_64,632,205,1,t_5566574_b_80213_tn_0,2562331,t_5566581_b_80213_tn_0,2562331
20600000,c_69253_b_80213_d_64,634,206,1,t_5566648_b_80213_tn_0,2562331,t_5566655_b_80213_tn_0,2562322
20700000,c_69253_b_80213_d_64,637,207,1,t_5566639_b_80213_tn_0,2562322,t_5566638_b_80213_tn_0,2562331
20800000,c_69253_b_80213_d_64,638,208,1,t_5566562_b_80213_tn_0,805734,t_5566569_b_80213_tn_0,2562322
20900000,c_69253_b_80213_d_64,639,209,1,t_5566671_b_80213_tn_0,2562322,t_5566668_b_80213_tn_0,2562331
2100000,c_18146_b_78479_d_4,2105,21,1,t_1523663_b_78479_tn_0,805739,t_1523663_b_78479_tn_0,2562331
21000000,c_69253_b_80213_d_8,502,210,1,t_5567023_b_80213_tn_0,805670,t_5567025_b_80213_tn_0,806009
2200000,c_18146_b_78479_d_4,2106,22,1,t_1523666_b_78479_tn_0,805739,t_1523666_b_78479_tn_0,2562331
2300000,c_18146_b_78479_d_4,2107,23,1,t_1523665_b_78479_tn_0,805606,t_1523665_b_78479_tn_0,2562331
2400000,c_18146_b_78480_d_27,1105,24,1,t_898197_b_78480_tn_0,815405,t_898197_b_78480_tn_0,2562322
2500000,c_18146_b_78480_d_27,116,25,1,t_898195_b_78480_tn_0,805739,t_898195_b_78480_tn_0,2562331
2600000,c_18146_b_78480_d_27,117,26,1,t_898196_b_78480_tn_0,805739,t_898196_b_78480_tn_0,2562331
2700000,c_18146_b_78480_d_27,2108,27,1,t_5306767_b_78480_tn_0,815407,t_5306767_b_78480_tn_0,2562331
2800000,c_18146_b_78480_d_27,2109,28,1,t_1521284_b_78480_tn_0,805739,t_1521284_b_78480_tn_0,2562331
2900000,c_18146_b_78480_d_27,2110,29,1,t_1521285_b_78480_tn_0,805606,t_1521285_b_78480_tn_0,2562331
300000,c_18146_b_78479_d_27,117,3,1,t_898196_b_78479_tn_0,805739,t_898196_b_78479_tn_0,2562331
3000000,c_18146_b_78480_d_27,212,30,1,t_5306766_b_78480_tn_0,849473,t_5306766_b_78480_tn_0,2562322
3100000,c_18146_b_78480_d_31,107,31,1,t_898186_b_78480_tn_0,2562331,t_898186_b_78480_tn_0,2562331
3200000,c_18146_b_78480_d_31,108,32,1,t_898181_b_78480_tn_0,805734,t_898181_b_78480_tn_0,2562331
3300000,c_18146_b_78480_d_31,109,33,1,t_2081606_b_78480_tn_0,2562331,t_2081608_b_78480_tn_0,2562322
3400000,c_18146_b_78480_d_31,2101,34,1,t_898397_b_78480_tn_0,805734,t_898397_b_78480_tn_0,2562331
